UnitID,Institution Name,Student-to-faculty ratio (EF2022D),Student-to-faculty ratio (EF2021D),Student-to-faculty ratio (EF2020D),Student-to-faculty ratio (EF2019D),
168528,Adrian College,16,15,14,13,
138600,Agnes Scott College,11,12,11,10,
128498,Albertus Magnus College,15,14,14,14,
210571,Albright College,9,11,12,14,
168591,Alma College,14,13,13,12,
164492,Anna Maria College,12,13,12,12,
237136,Appalachian Bible College,9,7,7,9,
168786,Aquinas College,11,10,11,10,
105899,Arizona Christian University,15,18,12,15,
222877,Arlington Baptist University,18,18,14,9,
201061,Art Academy of Cincinnati,11,9,9,9,
109651,Art Center College of Design,8,8,8,8,
156213,Asbury University,11,14,12,10,
164562,Assumption University,11,12,13,12,
143084,Augustana College,11,11,11,11,
222983,Austin College,11,11,12,12,
231420,Averett University,12,12,12,17,
176628,Avila University,10,10,12,12,
164580,Babson College,16,16,14,14,
201195,Baldwin Wallace University,9,11,11,11,
223117,Baptist Missionary Association Theological Seminary,4,3,2,3,
132408,Baptist University of Florida,8,9,8,8,
444398,Baptist University of the Americas,10,10,10,10,
155070,Barclay College,7,9,11,12,
197911,Barton College,13,13,13,12,
197984,Belmont Abbey College,12,14,15,16,
217721,Benedict College,17,18,18,20,
154712,Benedictine College,14,13,13,14,
230816,Bennington College,9,10,8,10,
164748,Berklee College of Music,10,10,9,10,
139144,Berry College,12,12,12,11,
237181,Bethany College,12,12,11,10,
486284,Bethany Global University,16,27,19,15,
173142,Bethany Lutheran College,12,12,11,12,
150145,Bethel University,12,11,11,11,
219718,Bethel University,17,13,15,15,
132602,Bethune-Cookman University,15,15,15,14,
100937,Birmingham-Southern College,10,10,10,11,
183822,Bloomfield College,13,14,15,15,
175430,Blue Mountain Christian University,14,21,17,16,
231554,Bluefield University,15,14,14,14,
201371,Bluffton University,11,12,12,11,
189413,Boricua College,20,20,20,20,
164872,Boston Architectural College,5,5,5,5,
156356,Brescia University,9,12,11,13,
198066,Brevard College,10,10,11,11,
139205,Brewton-Parker College,15,18,16,18,
497408,Bridges Christian College,7,,,,
231581,Bridgewater College,13,13,13,13,
217165,Bryant University,13,13,13,13,
210492,Bryn Athyn College of the New Church,8,6,8,6,
211291,Bucknell University,9,9,9,9,
153001,Buena Vista University,12,11,10,7,
209409,Bushnell University,12,13,15,15,
215114,Cairn University-Langhorne,11,12,11,11,
110370,California College of the Arts,7,8,8,8,
150172,Calumet College of Saint Joseph,11,12,12,12,
169080,Calvin University,12,12,12,12,
189705,Canisius University,11,12,11,11,
461032,Carolina College of Biblical Studies,4,4,6,7,
180106,Carroll College,12,11,11,12,
238476,Carthage College,13,13,13,12,
198215,Catawba College,11,11,12,12,
475398,Catholic Distance University,3,3,4,4,
158477,Centenary College of Louisiana,8,8,9,9,
154855,Central Christian College of Kansas,14,16,17,16,
176910,Central Christian College of the Bible,9,8,8,11,
445267,Central Methodist University-College of Graduate and Extended Studies,19,18,16,17,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,30,31,30,37,
230852,Champlain College,14,13,14,15,
198303,Chowan University,16,16,16,16,
219833,Christian Brothers University,9,11,11,11,
457697,City Vision University,7,7,7,7,
217873,Claflin University,13,13,13,13,
112260,Claremont McKenna College,8,8,8,8,
156417,Clear Creek Baptist Bible College,10,10,9,10,
169327,Cleary University,13,18,17,18,
190099,Colgate University,9,9,9,9,
169442,College for Creative Studies,10,10,10,10,
160959,College of the Atlantic,10,10,10,10,
126678,Colorado College,10,9,9,10,
177065,Columbia College,20,20,23,23,
217934,Columbia College,11,11,12,11,
144281,Columbia College Chicago,15,14,14,14,
202170,Columbus College of Art & Design,10,10,10,9,
173300,Concordia College at Moorhead,12,12,11,11,
169363,Concordia University Ann Arbor,11,10,10,11,
180984,Concordia University-Nebraska,12,14,14,14,
153162,Cornell College,13,12,12,12,
139393,Covenant College,12,11,12,12,
475608,Criswell College,5,5,7,8,
174862,Crown College,17,17,16,15,
177144,Culver-Stockton College,14,14,14,14,
219949,Cumberland University,16,17,17,16,
165529,Curry College,12,12,12,12,
211893,Curtis Institute of Music,2,2,2,2,
219091,Dakota Wesleyan University,12,12,12,12,
224244,Dallas Christian College,13,12,9,10,
169479,Davenport University,16,15,13,13,
202514,Defiance College,10,11,12,9,
212009,Dickinson College,9,9,8,9,
158802,Dillard University,13,13,14,13,
153250,Dordt University,14,14,14,14,
177214,Drury University,12,12,13,12,
150455,Earlham College,6,7,8,7,
224527,East Texas Baptist University,14,14,14,14,
165644,Eastern Nazarene College,9,10,10,10,
446233,Ecclesia College,10,10,10,10,
133526,Edward Waters University,17,22,17,23,
190983,Elmira College,7,8,10,10,
104586,Embry-Riddle Aeronautical University-Prescott,18,17,18,17,
426314,Embry-Riddle Aeronautical University-Worldwide,19,22,20,19,
165662,Emerson College,15,13,13,15,
165671,Emmanuel College,13,13,13,13,
139630,Emmanuel University,12,15,15,15,
385619,Everglades University,17,16,16,18,
232089,Ferrum College,11,12,13,13,
165802,Fisher College,11,12,11,14,
220181,Fisk University,12,15,14,12,
133711,Flagler College,14,15,16,16,
480569,Florida Institute of Technology-Online,14,18,20,17,
133979,Florida Memorial University,15,15,13,13,
205957,Franciscan University of Steubenville,16,16,15,14,
150604,Franklin College,11,11,11,11,
114813,Fresno Pacific University,10,11,13,11,
218070,Furman University,9,9,9,10,
212656,Geneva College,11,11,12,11,
156745,Georgetown College,14,13,12,11,
212674,Gettysburg College,10,10,10,9,
230889,Goddard College,6,6,11,11,
202903,Gods Bible School and College,9,8,9,8,
165936,Gordon College,14,11,10,11,
162654,Goucher College,7,8,9,11,
170000,Grace Christian University,15,16,14,19,
153375,Grand View University,12,12,12,12,
198598,Greensboro College,10,10,8,9,
145372,Greenville University,12,11,10,11,
198613,Guilford College,12,12,12,12,
225201,Hallmark University,18,18,15,26,
177542,Hannibal-LaGrange University,11,10,10,9,
191533,Hartwick College,10,12,9,9,
181127,Hastings College,12,13,14,12,
203085,Heidelberg University,14,15,14,14,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,7,7,8,8,
107080,Hendrix College,11,11,10,11,
198677,Heritage Bible College,2,3,5,4,
101453,Heritage Christian University,8,6,7,6,
235422,Heritage University,8,9,6,6,
459842,Herzing University-Kenosha,15,15,15,15,
174154,Herzing University-Minneapolis,14,13,12,12,
433536,Herzing University-New Orleans,13,13,14,16,
191621,Hilbert College,14,12,13,11,
203128,Hiram College,10,13,11,12,
191630,Hobart William Smith Colleges,8,9,9,10,
134510,Hobe Sound Bible College,6,10,10,11,
367884,Hodges University,10,10,12,15,
232308,Hollins University,8,9,9,9,
129534,Holy Apostles College and Seminary,8,8,8,6,
191676,Houghton University,10,12,11,11,
225548,Howard Payne University,10,10,10,10,
164368,Hult International Business School,12,10,14,14,
101435,Huntingdon College,14,15,13,13,
225575,Huston-Tillotson University,16,16,16,16,
145691,Illinois College,12,13,13,13,
191931,Iona University,15,15,15,14,
225885,Jarvis Christian University,12,12,12,18,
107141,John Brown University,15,15,14,14,
203368,John Carroll University,14,13,13,13,
198756,Johnson C Smith University,11,9,13,13,
213251,Juniata College,10,11,13,11,
155308,Kansas Christian College,15,10,11,11,
155414,Kansas Wesleyan University,14,12,11,11,
157100,Kentucky Christian University,13,12,12,11,
169983,Kettering University,12,12,13,14,
192192,Keuka College,12,12,12,11,
213303,Keystone College,14,13,14,13,
171881,Kuyper College,7,8,9,11,
140234,LaGrange College,11,9,10,11,
117168,Laguna College of Art and Design,9,8,12,12,
203580,Lake Erie College,11,13,12,13,
146481,Lake Forest College,12,12,12,12,
238980,Lakeland University,16,15,15,13,
166391,Lasell University,11,12,15,13,
198808,Lees-McRae College,10,11,11,11,
226231,LeTourneau University,13,15,15,11,
117104,Life Pacific University,12,10,12,11,
218238,Limestone University,11,13,13,13,
209065,Linfield University,10,10,11,11,
198862,Livingstone College,13,13,12,15,
153825,Loras College,12,11,12,12,
474863,Los Angeles Pacific University,21,22,23,20,
159568,Louisiana Christian University,11,11,11,12,
106342,Lyon College,9,10,11,10,
161509,Maine College of Art & Design,8,9,8,8,
203775,Malone University,11,12,13,11,
192703,Manhattan College,11,11,11,13,
239080,Marian University,12,12,12,12,
203845,Marietta College,9,8,8,8,
198899,Mars Hill University,11,9,10,9,
173452,Martin Luther College,9,12,11,12,
151810,Martin University,6,11,19,22,
163295,Maryland Institute College of Art,9,10,8,9,
220710,Maryville College,12,12,12,12,
164270,McDaniel College,12,13,13,12,
226587,McMurry University,13,11,11,10,
155511,McPherson College,13,14,15,13,
118693,Menlo College,15,14,17,17,
153977,Mercy College of Health Sciences,8,9,8,7,
213987,Mercyhurst University,14,14,15,14,
198950,Meredith College,10,10,11,11,
166850,Merrimack College,13,15,15,15,
147129,Methodist College,7,8,8,9,
190114,Metropolitan College of New York,11,10,14,10,
245953,Mid-America Christian University,13,11,13,11,
155520,MidAmerica Nazarene University,11,10,10,13,
157377,Midway University,15,15,15,17,
480985,Midwives College of Utah,5,5,5,4,
175980,Millsaps College,9,9,9,9,
239318,Milwaukee School of Engineering,13,13,14,13,
174127,Minneapolis College of Art and Design,9,9,9,10,
176664,Mission University,11,11,12,12,
178369,Missouri Valley College,13,15,14,14,
199032,Montreat College,13,13,8,7,
214148,Moore College of Art and Design,7,8,7,7,
214166,Mount Aloysius College,11,11,11,11,
166939,Mount Holyoke College,9,10,9,9,
193353,Mount Saint Mary College,12,11,12,13,
163462,Mount St. Mary's University,13,14,14,12,
204194,Mount Vernon Nazarene University,11,13,14,14,
214175,Muhlenberg College,8,9,9,9,
127653,Naropa University,9,9,7,7,
181446,Nebraska Wesleyan University,11,12,13,11,
194116,New York School of Interior Design,11,12,11,11,
218414,Newberry College,14,13,14,13,
167260,Nichols College,16,16,16,16,
461795,North American University,14,13,14,11,
199209,North Carolina Wesleyan University,12,12,13,20,
174437,North Central University,11,15,15,16,
118888,Northeastern University Oakland,,8,8,10,
217606,Northpoint Bible College,9,9,9,18,
487603,Northwest University-Center for Online and Extended Education,17,17,20,17,
154101,Northwestern College,15,12,11,10,
230995,Norwich University,11,14,13,15,
101912,Oakwood University,11,10,10,11,
204501,Oberlin College,9,9,9,9,
120254,Occidental College,9,9,8,9,
140696,Oglethorpe University,16,14,18,15,
201964,Ohio Christian University,8,9,8,11,
204617,Ohio Dominican University,13,14,15,13,
207403,Oklahoma Baptist University,15,15,14,15,
207324,Oklahoma Christian University,15,15,15,13,
120403,Otis College of Art and Design,9,9,7,9,
464226,Ottawa University-Surprise,16,12,10,10,
107512,Ouachita Baptist University,12,13,12,12,
178679,Ozark Christian College,15,13,14,18,
209603,Pacific Northwest College of Art,9,10,11,12,
120768,Pacific Oaks College,4,5,6,5,
457484,Pacific Rim Christian University,6,7,7,10,
120838,Pacific States University,7,3,5,5,
120865,Pacific Union College,13,12,13,11,
178721,Park University,14,14,15,15,
227429,Paul Quinn College,20,23,18,23,
194392,Paul Smiths College of Arts and Science,13,14,12,12,
214883,Peirce College,9,11,13,13,
214971,Pennsylvania Academy of the Fine Arts,5,4,5,8,
199306,Pfeiffer University,14,11,10,13,
107600,Philander Smith University,11,12,12,14,
440794,Pillar College,10,10,10,10,
138868,Point University,13,12,13,17,
456481,Polytechnic University of Puerto Rico-Miami,3,4,7,7,
456490,Polytechnic University of Puerto Rico-Orlando,5,5,5,5,
205027,Pontifical College Josephinum,5,5,5,5,
194578,Pratt Institute-Main,9,10,9,9,
217402,Providence College,11,11,11,12,
199412,Queens University of Charlotte,9,9,10,10,
148131,Quincy University,14,14,15,14,
194666,Rabbinical College Bobover Yeshiva Bnei Zion,25,21,20,25,
186186,Rabbinical College of America,11,11,14,12,
207157,Randall University,9,13,22,15,
233301,Randolph College,7,8,8,8,
233295,Randolph-Macon College,10,11,11,11,
497480,Reach University,37,,,,
209922,Reed College,9,9,9,9,
490230,Reformed University,15,15,15,15,
140872,Reinhardt University,12,12,13,13,
217493,Rhode Island School of Design,9,9,9,9,
221351,Rhodes College,9,10,9,10,
239628,Ripon College,14,14,14,13,
233426,Roanoke College,11,11,11,11,
170967,Rochester University,14,11,12,11,
148405,Rockford University,10,10,10,10,
217518,Roger Williams University,14,14,15,14,
152318,Rose-Hulman Institute of Technology,12,11,10,11,
215691,Rosemont College,13,12,14,12,
172033,Sacred Heart Major Seminary,7,5,8,8,
183239,Saint Anselm College,11,11,11,11,
199582,Saint Augustine's University,10,12,12,11,
216047,Saint Charles Borromeo Seminary-Overbrook,6,6,6,7,
174792,Saint Johns University,11,11,12,11,
161518,Saint Joseph's College of Maine,10,8,12,10,
231059,Saint Michael's College,10,12,11,11,
239716,Saint Norbert College,11,13,13,13,
148627,Saint Xavier University,15,16,16,16,
199607,Salem College,16,15,15,11,
112084,San Diego Christian College,11,12,9,8,
122506,San Francisco Conservatory of Music,3,3,3,3,
195304,Sarah Lawrence College,11,11,10,9,
140951,Savannah College of Art and Design,20,20,18,20,
143048,School of the Art Institute of Chicago,11,10,8,11,
228042,Schreiner University,15,15,14,14,
195438,Sh'or Yoshuv Rabbinical College,8,10,8,8,
123280,Shasta Bible College and Graduate School,3,3,2,5,
199643,Shaw University,12,15,14,15,
140988,Shorter University,15,15,15,12,
195474,Siena College,13,12,13,12,
172264,Siena Heights University,12,12,12,12,
461759,Simmons College of Kentucky,8,3,4,5,
154350,Simpson College,10,11,11,11,
123457,Simpson University,13,13,13,12,
399911,Soka University of America,7,7,7,7,
123952,Southern California Institute of Architecture,15,15,15,15,
228468,Southwestern Adventist University,12,12,11,15,
207856,Southwestern Christian University,12,11,12,11,
102234,Spring Hill College,12,11,13,13,
195164,St Bonaventure University,11,11,12,12,
195216,St Lawrence University,11,11,10,11,
199698,St. Andrews University,14,14,13,13,
195173,St. Francis College,15,15,15,16,
137272,St. John Vianney College Seminary,4,4,4,4,
163976,St. John's College,8,8,7,8,
245652,St. John's College,8,7,7,7,
195544,St. Joseph's University-New York,12,12,12,10,
195243,St. Thomas Aquinas College,15,17,17,16,
179548,Stephens College,8,8,11,9,
155937,Sterling College,9,10,10,11,
167996,Stonehill College,12,11,11,11,
447953,SUM Bible College and Theological Seminary,16,23,10,10,
216278,Susquehanna University,13,15,13,12,
233718,Sweet Briar College,8,10,8,8,
155973,Tabor College,15,16,15,13,
102298,Talladega College,22,22,23,20,
137777,Talmudic College of Florida,4,4,4,4,
196440,Talmudical Institute of Upstate New York,7,14,8,7,
152530,Taylor University,13,12,13,12,
149329,Telshe Yeshiva-Chicago,13,11,13,13,
221731,Tennessee Wesleyan University,10,10,11,12,
142294,The College of Idaho,10,12,11,11,
195234,The College of Saint Rose,14,15,14,14,
190372,The Cooper Union for the Advancement of Science and Art,9,9,8,8,
171599,The University of Olivet,14,15,15,17,
216357,Thiel College,11,11,11,10,
161563,Thomas College,23,19,26,24,
157809,Thomas More University,14,13,14,15,
141167,Thomas University,12,12,12,10,
141185,Toccoa Falls College,17,15,16,13,
176406,Tougaloo College,9,9,11,9,
137953,Trinity Baptist College,10,15,15,12,
149505,Trinity Christian College,10,9,10,10,
130590,Trinity College,8,9,9,9,
135610,Trinity International University-Florida,3,3,4,9,
229267,Trinity University,9,9,9,9,
131876,Trinity Washington University,12,11,11,12,
141237,Truett McConnell University,16,17,17,18,
221953,Tusculum University,16,19,18,16,
181738,Union Adventist University,8,10,9,9,
157863,Union College,9,13,17,12,
161572,Unity Environmental University,36,27,15,14,
457402,University of Fort Lauderdale,5,5,5,5,
199069,University of Mount Olive,16,14,16,15,
193399,University of Mount Saint Vincent,14,15,14,13,
174491,University of Northwestern-St Paul,15,15,18,17,
180258,University of Providence,7,8,8,8,
488785,University of Saint Katherine,12,14,14,12,
216542,University of Valley Forge,11,12,11,10,
154493,Upper Iowa University,13,12,11,12,
149639,VanderCook College of Music,4,4,4,6,
123651,Vanguard University of Southern California,16,17,16,15,
197133,Vassar College,7,8,8,8,
234173,Virginia Wesleyan University,13,12,12,12,
218919,Voorhees University,13,10,11,10,
138275,Warner University,13,13,14,14,
199865,Warren Wilson College,8,9,9,11,
154527,Wartburg College,13,14,12,11,
216667,Washington & Jefferson College,10,9,10,10,
162210,Washington Adventist University,6,7,11,8,
138293,Webber International University,24,24,25,24,
220206,Welch College,8,8,9,9,
168227,Wentworth Institute of Technology,17,16,16,18,
141325,Wesleyan College,7,9,8,8,
433387,Western Governors University,42,42,42,42,
216807,Westminster College,12,12,11,11,
125763,Whittier College,10,11,11,12,
206491,Wilberforce University,19,19,10,15,
122728,William Jessup University,11,13,13,10,
179955,William Jewell College,10,10,10,10,
154590,William Penn University,18,17,15,13,
107877,Williams Baptist University,16,17,16,12,
168342,Williams College,6,6,6,6,
443340,Williamson Christian College,7,7,7,7,
206507,Wilmington College,13,13,14,15,
217013,Wilson College,13,13,12,12,
240338,Wisconsin Lutheran College,12,12,12,12,
206525,Wittenberg University,10,11,11,11,
125897,Woodbury University,8,8,10,9,
363712,Yeshivah Gedolah Rabbinical College,6,9,9,8,
197692,Yeshivath Shaar Hatorah,10,10,12,12,
181853,York University,11,11,12,11,
141361,Young Harris College,11,11,11,11,